datetime,tx_id,sender,recipient_type,recipient_id,amount,description
"2025-05-08 19:36:11,000",eb940b2e58ca43769fd56e430563db0e,fb217db7cccf4173afa7ac147ce0358d,service,81339a336c29406bb9328e9a3610ea12,488.35,mobile topup
"2025-02-18 11:03:38,000",f9574d7a590d468bac3750bca3558025,b4c0d9381960440689be64a33882f4a4,user,8ada206cf5cd46c4a0e4d7e3f2dca703,838.3,movie ticket
"2025-04-12 01:12:53,000",5d7138978e18447089dd3d61a8cd1523,3b8ae76c62e040e09b647d9f09edcba7,service,03cbf63b497f497b8c4482d2b7b60454,342.39,mobile topup
"2025-02-12 17:48:35,000",bc208aced40149d08a4c30dbf6227521,2ba777656efc4a7bab0471b161a44fa2,merchant,0c242320c7bb4f5a8ae5071221bf935b,646.07,theater ticket
"2025-02-26 16:14:34,000",e0c24b6f45de416a9cf1f925d5b82b26,4d5f341092274ace82168459349f7ff4,merchant,23182a9dd9214a579e434fc08fb352f1,321.44,utilities bill
"2025-05-10 23:44:30,000",452cc3ec046c4c4fbc8977552e41f5d8,4ad4dee7cb6d40af9d464ec6e26e5121,merchant,081554449b6d43499842f86b508c4290,485.6,gift
"2025-01-23 20:59:18,000",4b01e1043f3a49c78ad957b38ed92c3a,ef6963e1c342497385e5306026857131,merchant,092866b33aa94d04adf846617d99b5ca,950.63,gift
"2025-03-26 03:13:24,000",81bc888814744fdfb00c23ef05d11a6c,992cb6cd50064596be4d7054b1de3dd3,merchant,5f3e3b2510bc42249756ebaf2ec22f8a,265.29,theme park
"2025-03-04 04:07:22,000",09f4a6df92ac4d3297b068b74b9c7062,18ecc020e75d48bab942d08e5ac9a9cc,merchant,2e896607c4034f7c91094d3debdee6b2,29.77,utilities bill
"2025-03-12 20:05:12,000",200022d3c0594120a04a2f8eeeca7862,db1afce7ef3c415a8cd5cfe82352f72d,service,64d69bc78d644d2e95c44d99715b99a0,675.64,bus ticket
"2025-04-28 18:26:44,000",3c87733a400d4ef58aeac325614385ab,642ccc2e935a43fb803df6e11ca761aa,user,82c2cbd03a6d4bf7b7204d009a1f6ec8,140.51,theater ticket
"2025-03-26 01:26:36,000",2b56248e83eb4bc5872a250fda113f89,df0cae028d7943d893d0fe79f6da5e45,user,bc1c42e4b09142bea5453a9b2e4a1cb1,565.57,theater ticket
"2025-03-11 21:31:11,000",8b3a0d9372674bdd92a9948d745e9e48,9044b1833655488eb559be137aa3e9bd,merchant,7c2a404745124c94b27264d1d57ff017,535.91,circus ticket
"2025-01-22 04:09:44,000",afe9c72863c145e7a5dda6f5e7cb74e3,07039f0f64fd4e83a5a5f8adeac37ac1,merchant,fea43762e37e487ebfb37acd10ee9e89,533.88,ride share
"2025-04-15 02:25:45,000",dac53ecb35444ab68f48ea3315e066ca,bbb09649600846749d3ca0eb9991365d,user,0b53f3f7e47f4810ad0778ed17a266b0,449.0,utilities bill
"2025-03-15 21:09:41,000",3cbeb7a2c0ca474d8233c7e703c08c3e,adc765e67df948409a67b23ea7031bb4,merchant,6e1b8deb3d6f448f8ccca696c698832d,581.98,theater ticket
"2025-05-03 08:56:29,000",0131ebedf3624894b056f5e2087946de,ff1842f689994b56b3994173590059af,user,930194bf2b1f43aea36b26ce1d31e1cf,444.85,food
"2025-05-11 09:33:56,000",a110a546690b47ac9078dde086e9df1c,06ea9d9063d842d2b96bc126b16c71d0,merchant,fba331f166f9441889ff6e057ab0ca3a,272.87,food
"2025-03-13 02:46:01,000",52a903eada22490aadc1ce0cbc9449b2,19d643ec1012465d9e5b8e242b13eb5d,merchant,a3d5e9669233465c9a8cb4b436994094,32.33,hotel booking
"2025-01-22 07:21:22,000",b49d2d6ce5164c6c89c3dee1356f01b3,4df9d280aa9c4286a552d4083617c97a,user,2dc37849272545dfaeadd11f07587ce6,329.48,hotel booking
"2025-01-12 07:03:52,000",226ccb85949840a1a2eb6152920d8051,57d7497682824496bd8f2d3b6d843065,user,6a5e42d739c04c8f96b51f103f47536b,526.11,utilities bill
"2025-04-17 18:48:54,000",85bb896de3da4be79bc71c58e586d146,f5ab22c77b1c4e779e3dedc799ea0c1b,merchant,3ad8d7667dd44444875317fac786a04e,585.01,utilities bill
"2025-04-17 00:38:12,000",4562ee9c04ab430f809abe4155537320,5d4a86ff4e734131989f3e9b8876d3e4,service,dceb445b87c746a79a58b91de515c626,741.4,mobile topup
"2025-03-04 16:32:44,000",54e191aa54c84278a0f395fc0eb6b415,8a29a78ff4304f179690520dd6f9ce72,merchant,3a20a7a9c0384daabe6c270bf1fedf18,171.88,subscription
"2025-02-04 13:54:23,000",beeb424cd595411ba98e53484a4102b1,6fefb8618f9348d184a4aafe527ebb88,user,3a744b6be251454fa3b9c0e2270273d1,354.37,circus ticket
"2025-03-10 04:46:16,000",c8f2cc10727844b7966e59627f21c792,b561bc1a19114e3dafe46f077fd76eec,merchant,4c6d922a462e40948207f13e3f674564,214.15,hotel booking
"2025-01-02 01:25:45,000",dd31a6c3f2744f94824ec00a00a3569a,3e5a95cf7c41430782739473d173fb94,user,135e5960dc1d4946a1339deadaf55890,59.51,utilities bill
"2025-01-06 14:15:50,000",9aebadbe6812418791f2103710aba3cb,ae7cd14b143d45b996f58668f9f71ae1,user,c0f52d338281441e871faeef5aa141ac,600.47,food
"2025-02-23 05:20:41,000",c879929c06784671a796d3e4bf43fea0,04330a89906e4752b04812176a3cecbc,user,cef3e328117944f2b226fcdf1806a39c,147.5,train ticket
"2025-02-20 20:58:07,000",14c93cd9554d44a7a6dce95ee6d09149,2bd64ceaa68a4751b9351c3417276d3e,user,b4bd2d47ebaa466487cfb3b0fec768ca,955.4,ride share
"2025-05-02 15:54:26,000",655b96a0043a4eff978fbc0acdeff8ac,932f56c402aa4f69b910a1610dd22d07,merchant,5701f0935d6e4e15959797f01f8eaa2d,450.14,train ticket
"2025-03-21 07:09:30,000",d66e40a5fe024361bcc9537813cd30ef,d5a0fc97516f4c88b3fafaaf365c5399,service,39ae013fb8644f08be3d525e8a23174b,667.74,mobile topup
"2025-02-23 07:31:03,000",48da6102f5cd447e886252453a46a7bc,c1f7808c35ad4db5af94489a8250d290,user,f88388adea1b436296da3f01ba68402c,555.83,movie ticket
"2025-02-05 00:44:20,000",36629b5919c5491b9ce1d91b2573a4aa,4d3edbc7e7ce4034b08a5c4c4d7ffe93,user,10913f33e3dd40ce84b97742c75cd940,29.19,ride share
"2025-04-30 10:18:06,000",4c5a8b35034843fdba52213dbbf8759f,0345e70ee8b4474a9d12fa00045268fa,service,f4c63634640d473ea061c3cf5faf712f,266.6,bus ticket
"2025-03-28 00:25:59,000",7debdb2cf9b94431b006b98cf85f4947,c4266af22fb54e7a86a11bdeb2a09473,merchant,5c2ad482eaf64de1827f9d6713ba3761,820.12,snacks
"2025-04-08 07:59:17,000",6fe3c317f1584fab8a2d43cda77dbb00,21ffd068554d4f5585a271cdcea2af5c,service,b4cc7649721f45bc88fc4527b68ed49f,612.03,mobile topup
"2025-01-15 01:06:02,000",b9ea7a4dfb6d4dd1b4e823e9682e5936,95094025a58a437282520d4bbc80d3f5,merchant,ef599729f9a94ca6a7023e62d0ce9eb1,502.92,shopping
"2025-03-23 16:59:08,000",5d9a917347d2483f8506427331148039,0ebbeb061b6340f3a6ccdf029145cd88,user,a638c128fd924a559111c0f3ea413171,858.58,ride share
"2025-05-03 19:02:41,000",8ac2f7ade3cb4b6f89c89dda55a5e4c5,1d5532788c3f45e7a345c98e573bb564,user,d5512f50d4cf4e56b34e41ae8721928b,850.45,buying
"2025-01-17 15:25:56,000",715ef7f4a05a40ce8802023152e9837b,01ba6c1f2db44306b2dfa0599a8faa9a,merchant,3fee2b26a59d447fa76e9c59c4439e01,150.23,gift
"2025-03-12 07:49:32,000",9c015324a8ad448fab56e4885871108e,a75ae7624c4041908dec77b757e107ea,merchant,312e6101fc6b49a496e0868bd53cf2da,318.47,parking fee
"2025-03-31 02:57:59,000",5f0ba5b9a79d4e8e8f824e6f231551de,47166f88eb654af4aceb9ea99279c11c,merchant,6d2aabe2f6994d62b4501468568a7784,7.17,train ticket
"2025-05-08 16:30:51,000",adaf6ccf5cdb43c7aac352d8ceb59d1f,a1ce41f9fc3b4e668de65fd9cf88b657,merchant,eac04560c02d4094a7a7d612dfc91823,554.75,shopping
"2025-01-23 08:03:52,000",eb7a31edeba743b393d345f83a152875,c847c5d851114d429f92d209c56064c6,merchant,fa236342918c4e7c86a5d1178ed5b5df,376.14,buying
"2025-04-28 04:35:51,000",89772ac8aaf94572a0899e22e590ca13,730ad9ce79fa465ebf019434d304591c,user,f9416a9778e746d398fbe70396826454,283.1,gift
"2025-02-28 04:50:56,000",3f291949fac54b95ba1d1d2e80e0d739,3984133805b1424ab65d73e95aa37401,merchant,256880cfe9454c47acb0c9acc41e4fe1,561.46,ride share
"2025-04-28 03:44:48,000",5146029d1ad34e749689328360126046,97c4b141aab64bf6a2916a6c6f6524c2,merchant,79e82c91060441289071a524f8309447,114.79,gift
"2025-03-16 15:57:07,000",429f61bbe310491f93d3a61e9545460c,11c6d462114d4413929f52c681f2d643,user,b8c3819e8e6f4e2ba532d202bee30bfb,246.15,food
"2025-02-04 00:44:31,000",9a1a309d4b174fe6aeeadf092d8dc04e,fceffef8a1b0412f8da67bd9f8830c6d,user,41e5b251ecb440f696abdce7cb14b0e6,658.56,food
"2025-04-22 21:45:33,000",2f68aa5291634a6d89903f43bdf96719,754465b26c13413b8e101be81bd56ec2,user,b8d2f89201db458e8f8d0fba047b5646,336.59,circus ticket
"2025-02-26 10:45:04,000",3bbdc72aa1b44390bdd6af0ad4bc87a5,f3322792084a4c47b55f73c41c29c186,service,9654c80710e64ccb8bec7f120999ee88,205.18,bus ticket
"2025-05-01 17:23:28,000",104d2dd05dff488aa6b5f9fec854e3c6,be0a8a3f104e44a0a4303259443ebcbb,user,0b601515eda94e90b8e850ecc770e1f2,568.88,gift
"2025-03-19 00:12:58,000",5fd27593ebbf472cbd56067684067ae3,e630dde3b503408da77290831ea05d39,merchant,9a36c990ef8440c5800771ba08679bd4,809.78,ride share
"2025-02-08 11:57:26,000",4437bef1529c48a9ac5c44386c6c61fd,875a6f42076749da8df219f300af1097,user,6812a2a2724b4099b43e64b0acbe5ef0,154.32,circus ticket
"2025-01-11 16:35:53,000",ca21d2f074a74afc96efdd608173cc90,4be640c094d24797a50dfe7e616f4628,user,231a0b52d4694717b5b12b12de8f76b2,40.56,snacks
